
"face","4"
"crook","4"
"herons","4"
"wedges","4"
"form","4"
"trident","4"
"lucies","4"
"flammant","4"
"lymphad","4"
"cloud","4"
"whelks","4"
"gilly","4"-flowers
"elephant","4"'s
"gobony","4"
"furnished","4"
"closed","4"
"called","4"
"scroll","4"
"inscribed","4"
"catherine","4"
"cock","4"'s
"et","4"
"scythes","4"
"respectant","4"
"r","4"
"nimbed","4"
"fleury","4"
"spot","4"
"talbot","4"'s
"barley","4"
"vaire","4"
"flaming","4"
"soles","4"
"hat","4"-bands
"lambs","4"
"luces","4"
"talbots","4"
"fox","4"
"p","4"
"gaze","4"
"mallets","4"
"clubs","4"
"billetty","4"
"adorned","4"
"bills","4"
"primroses","4"
"cat","4"
"trunks","4"
"tortilly","4"
"camel","4"
"chess","4"-rooks
"winged","4"
"harrows","4"
"rocks","4"
"quatrefoils","4"
"mounts","4"
"cloves","4"
"tynes","4"
"goshawk","4"
"saltireways","4"
"gad","4"-bees
"storks","4"
"thereto","4"
"stem","4"
"bee","4"-hive
"transposed","4"
"thigh","4"
"sea","4"-horse
"embrued","4"
"olive","4"-branch
"hares","4"
"mill","4"-picks
"cracking","4"
"ulster","4"
"parted","4"
"boat","4"
"wivern","4"
"knives","4"
"flag","4"
"lamps","4"
"swaddled","4"
"scotland","4"
"eleven","4"
"horse","4"'s
"domed","4"
"dome","4"
"hakes","4"
"barnacle","4"
"prince","4"'s
"heron","4"
"marlion","4"'s
"claws","4"
"brown","4"
"organ","4"-pipes
"mirror","4"
"mine","4"
"left","4"
"eye","4"
"axe","4"
"colour","4"
"robes","4"
"chapeau","4"
"affrontant","4"
"bear","4"'s
"vessel","4"
"la","4"
"places","4"
"fruit","4"
"platy","4"
"radiant","4"
"arriere","4"
"ancient","4"
"thistles","4"
"wolves","4"
"therein","4"
"enclosing","4"
"martletts","4"
"pride","4"
"bunch","4"
"champaine","4"
"counter","4"-compony
"corded","4"
"depressed","4"
"wool","4"-pack
"pennon","4"
"spindles","4"
"maned","4"
"jessant","4"
"whale","4"'s
"counter","4"-flory
"bottom","4"
"scorpions","4"
"tenter","4"-hooks
"barbels","4"
"gambes","4"
"windows","4"
"plummets","4"
"battlements","4"
"elm","4"
"baton","3"
"pallets","3"
"spade","3"
"nun","3"'s
"ladders","3"
"augmentation","3"
"beacons","3"
"badge","3"
"entoyre","3"
"sugar","3"-canes
"griece","3"
"half","3"-spades
"stump","3"
"ground","3"
"burling","3"-irons
"interlacing","3"
"yoke","3"
"mitred","3"
"bends","3"
